id,II-B-INCLUDED,2-b-included,Topic,Topic II,type,II-B-CONTACTED,link-text,title,description,link,REC-ommendation to be mapped to (for the II-B-INCLUDED only) - for the rest still Additional info,Additional info,
100,,YY,Dataviz,,KB-x,,Writing alt text for data visualisation,,A handy guide to writing alt text for data visualisations,https://medium.com/nightingale/writing-alt-text-for-data-visualization-2a218ef43f81,,,
101,,YY,Dataviz,,KB-x,,About data visualisation style guides ,,A short overview of what data visualisation style guides are including some examples of such style guides.,https://medium.com/nightingale/style-guidelines-92ebe166addc,,,
102,,YY,,,KB-x,,5 reasons visual identity matters,,Short overview on the importance of a viusal identity for government; focused on logo design and logo systems. ,https://medium.com/organizer-sandbox/5-reasons-visual-identity-matters-and-why-the-public-sector-should-care-9b1546962e98,,,
103,,YY,,,KB-x,,How to create a brand style guide,,Guidance to creating a visual identity.,https://en.99designs.ch/blog/logo-branding/how-to-create-a-brand-style-guide/#components,,,
104,YY,YY,Dataviz,II - CROSSCUTTING (e.g. accessibility),KB-x,,Colbis – Colorblindness Simulator,Colbis: a Color Blindness Simulator,Upload your visualisations to this simulator to check how colorblind people will perceive the visualisation.,https://www.color-blindness.com/coblis-color-blindness-simulator/,REC- Accessible colour combinations,,
105,,YY,,,KB-x,,Color Oracle,,"A free colorblind simulator app for Mac, Windows, and Linux. ",http://www.colororacle.org/,,,
106,YY,YY,Dataviz,II - Creating data visualisations,KB-x,,Viz Palette,Viz Palette: an online tool for picking colours for data visualisations ,A website that helps you create and test color palettes for data visualisation. ,https://projects.susielu.com/viz-palette,"REC- Follow best design 
REC- Choose accessible colour combinations",,
107,,YY,Publishing,,KB-i,,Europa Web Guide,,"The Europa Web Guide is the official rulebook for the European Commission's web presence, covering editorial, visual, regulatory and technical aspects. It describes to DGs and Executive agencies how to plan, design, build, maintain and archive their websites.  

To ensure the coherence, relevance and cost-effectiveness of the Commission’s overall web presence, in line with the decisions on Synergies and Efficiencies, this guide contains both mandatory rules and guidelines based on best practice and industry standards that are highly recommended.  ",https://wikis.ec.europa.eu/display/WEBGUIDE/Europa+Web+Guide,,,
108,,Y,Copyright,,KB-x,,Quick reference guide,,A quick reference guide for placing identifiers and publisher's information in printed and PDF publications,http://publications.europa.eu/code/pdf/Quick_reference_guide_26-02-2021.pdf,Link outdated - New edition added under #172,,
109,,M,Publishing,,KB-i,,Draft manuscript checklist,,"Use this checklist to make sure your draft manuscript is on track to become a good
final manuscript",https://webgate.ec.europa.eu/ilp/pages/librarycontent.jsf?courseId=44293598&mediaId=45756304,,,
110,,M,Publishing,,KB-i,,Final content checklist,,Use this checklist to make sure your content is final and complete and ready to be sent for production,https://webgate.ec.europa.eu/ilp/pages/librarycontent.jsf?courseId=44293598&mediaId=45758828,,,
111,,YY,Publishing,,KB-i,,Choosing appropriate media for your publication,,"Before you choose which media will suit your publication, here are a few questions
that you should ask yourself and some facts to consider
",https://webgate.ec.europa.eu/ilp/pages/librarycontent.jsf?pollingMode=on&mediaId=45758783&courseId=44293598,"REC- Use a consistent text hierarchy TBC (TO BE CHECKED IF ACCESSIBLE TO OTHERS - THE LINK POINTS TO MY COURSE ON EU LEARN)
THIS RECOMMENDATION MAY BE REMOVED ALTOGETHER",,
112,,Y,Publishing,,KB-x,,European Commission visual identity,,,https://ec.europa.eu/info/resources-partners/european-commission-visual-identity_en,,,
113,,M,Publishing,,KB-x,,European Parliament visual identity,,,https://www.europarl.europa.eu/downloadcentre/en/visual-identity,,,
114,,M,Publishing,,KB-x,,European Council visual identity,,,https://www.consilium.europa.eu/en/general-secretariat/corporate-policies/visual-identity/,,,
115,,Y,Writing,,KB-i,,European Commission web writing guidelines,,"Produced by Directorate-General for Communication (B.3), recommended reference for producing online texts",https://wikis.ec.europa.eu/display/WEBGUIDE/02.+Web+writing+guidelines,Duplicate of 140,,
116,,M,Writing,,KB-i,,Commission style guide,,"Similar to the Interinstitutional style guide. Recommended reference for writing European Commission internal documents, as well as its communications with the outside world",https://wikis.ec.europa.eu/download/attachments/6824833/commission_style_guide.pdf?version=1&modificationDate=1594633342434&api=v2,,,
117,YY,YY,Persistent identification & citation,,KB-i,,Data citation: a guide to best practice,Data Citation: A Guide to Best Practice (October 2021 edition),"A guide to best practice for data citation, including checklists for footnotes and references, diagrams and examples of footnote and reference style with date format compliant to DCAT-AP/the Interinstitutional Style Guide",https://op.europa.eu/en/publication-detail/-/publication/364fc65c-d653-11ec-a95f-01aa75ed71a1/language-en,REC- State the author of the dataviz…,,
118,,M,Publishing,,KB-i,,Study management,,Harmonised procedures for the management of studies,https://myintracomm.ec.europa.eu/sg/better_regulation/Documents/studies-mgt_harmonised-procedures.pdf,,,
119,,N,Evidence Transparency,,KB-x,,Better Regulation Guidelines and Toolbox,,,https://ec.europa.eu/info/law/law-making-process/planning-and-proposing-law/better-regulation-why-and-how/better-regulation-guidelines-and-toolbox_en,,,
120,YY,YY,Copyright,II - COPYRIGHT related,KB-i,,data.europa.eu's Licensing Assistant,Data.europa.eu licensing assistant,The licence assistant provides a description of the available licences. It also gives an overview of how to apply licences as re-publisher/distributor of Open Data and how to combine multiple licences,https://data.europa.eu/en/training/licensing-assistant,,"An editorial update is scheduled for mid Nov 2021 (Jira ticket DATAEUROPA-114, which is blocked by DATAEUROPA-407)

REC- Licensing OUT ???",
121,N,YY,Publishing,,KB-i,,European Commission Guidelines for Inclusive Communication,,"The purpose of the guidelines is to set common standards for inclusive communication and to provide practical examples and advice concerning both internal and external communication. These guidelines build on the existing Commission Style Guide and encompass various aspects of inclusive communication, from written to visual communications and IT requirements for greater accessibility. They include general principles; dedicated chapters on gender, LGBTIQ, racial and ethnic background, cultures, lifestyles or beliefs, dissabilities, age; and a quick checklist for preparing inclusive communictation material.",https://myintracomm.ec.europa.eu/sg/task-force-equality/Documents/guidelines-for-Inclusive-communication.pdf,EC corporate,,
122,,Y,Data management,,KB-i,,Operational Corporate  Guidance on Data Quality,,"A set of recommendations and practical tools which can be used to assess, record, and improve data quality across the Commission services.",,"EC corporate - currently, under review (see post of 27 Oct 2021 under GRP-EC-Data Advisory in Teams)",,
123,YY,YY,Metadata,II - Preparing your data for publication,KB-x,Y,EU Vocabularies catalogue,EU Vocabularies catalogue: collections to help you describe data consistently,Browse and access Eurovoc and other EU reference data and online tools to help you describe data consistently. ,https://op.europa.eu/en/web/eu-vocabularies,REC- Describe your data with metada,,
124,,M,Open data,,KB-x,,handbook.opendata.swiss,,"Guidelines for the Open Government Data strategy 2019-2023 of the Swiss federal govenrment, including a decision tree on whether data can be released as open data. Available in FR and DE.",https://handbook.opendata.swiss/fr/content/glossar/bibliothek/ogd-richtlinien.html,,,
125,YY,YY,Writing,,KB-i,Y,Writer's toolbox,Writer's toolbox: writing help and advice,"A set of resources gathered by the Directorate-General for Translation editing service, a team of native English speakers who edit, train and advise on clear writing across the European Commission.",https://myintracomm.ec.europa.eu/work/EN/writing-help-advice,"REC- Write in plain language
",EC corporate,
126,YY,YY,Writing,,KB-i,,European Commission Clear Writing Guide,European Commission Clear Writing Guide: with examples from EC documents,"A booklet offering some principles, not rules, that will help you avoid common pitfalls and write clearly in English.",https://myintracomm-collab.ec.europa.eu/networks/CWC/SiteAssets/SitePages/Clear-Writing-Guide-Booklet/Clear-Writing-Guide-Booklet_A5_Web.pdf,"REC- ??? 
This was the 'empty' resource link in the online guide. ",EC corporate,
127,YY,YY,II - Writing about data,II - Writing about data,KB-x,,Data Journalism Academy,Data Journalism Academy: video lectures on writing and editing for data,Series of lectures on writing and editing for data,https://sites.google.com/view/mj-basic-data-academy/other-resources,REC- Use various writing techniques,,
128,YY,YY,II - Preparing your data for publication,II - Preparing your data for publication,KB-x,,Open Knowledge Foundation,What is Open? Definition and key features of openness,Definition and key features of openness by the Open Knowledge Foundation,https://okfn.org/opendata/,"REC- Improve the openness level
New entry, still to be mapped",,
129,YY,YY,II - Preparing your data for publication,II - Preparing your data for publication,KB-x,,Open Data Handbook,"The Open Data Handbook: the why, what and how of open data","This handbook of the Open Knowledge Foundation discusses the legal, social and technical aspects of open data. It can be used by anyone but is especially designed for those seeking to open up data. It discusses the why, what and how of open data – why to go open, what open is, and the how to ‘open’ data.",http://opendatahandbook.org/guide/en/,"REC- WHOLE SECTION Prepare the data (add at the end)
NOT FOR THE FIRST RELEASE

REC- Improve the openness level
New entry, still to be mapped",,
130,,??,,II - Publishing the data and the data visualisations with your publication,KB-x,,Publications Office Web Guide,,The Publications Office Web Guide provides solid guidelines to ensure a consistent and intuitive user experience throughout all Publications Office websites and web applications. ,https://op.europa.eu/en/web/webguide/about ,,,
131,YY,YY,II - Preparing your data for publication,II - Preparing your data for publication,KB-x,,Learning corner for data providers on data.europa academy,Learning corner for data providers on data.europa academy,"A training package designed to help data providers to open up their data and to make it available via data.europa.eu. It is a set of webinars divided into several parts, going from the basics of open data, through essential technical, legal and practical information, to inspirational use cases. ",https://data.europa.eu/en/academy/learning-corner-data-providers,"REC- Structure your data in machine-readable
REC- Save as machine-readable
REC- Protect personal
REC- Publish your data
REC- Copyright???
REC- Improve the openness level
",The access rights to be checked with Inma?,
132,YY,YY,II - Writing about data,II - Writing about data,KB-x,,Readability: The Optimal Line Length,Readability: The Optimal Line Length,A Baymard Institute article,https://baymard.com/blog/line-length-readability ,REC- Write for the web,,
133,YY,YY,II - Creating data visualisations,II - Creating data visualisations,KB-x,,The Data Visualisation Catalogue,The Data Visualisation Catalogue: a library of visualisation types,The Data Visualisation Catalogue is a project developed by Severino Ribecca to create a (non-code-based) library of different information visualisation types. The website serves as a learning and inspiration resource for those working with data visualisation.,https://datavizcatalogue.com/ ,"REC- Best design practices
REC-  Best dataviz design practices",REC- Best design practices OR Best dataviz design practices?,
134,YY,YY,II - Creating data visualisations,II - Creating data visualisations,KB-x,Y,GISCO (Geographic Information System of the Commission),GISCO: the Geographic Information System of the Commission,"The 'Geographic Information System of the COmmission' is a permanent service of Eurostat that fulfils the requirements of both Eurostat and the European Commission for geographic information and related services at European Union (EU), Member State and regional levels. ",https://ec.europa.eu/eurostat/web/gisco/overview ,"REC- Make use of official EU geodata
",GISCO public website,
135,YY,YY,II - Creating data visualisations,II - Creating data visualisations,R,Y,GISCO team,GISCO team,,mailto:ESTAT-GISCO@ec.europa.eu ,REC - Make use of official EU geodata,,
136,,YY,,II - Preparing your data for publication,KB-x,,EC reuse decision,,,https://eur-lex.europa.eu/eli/dec/2011/833 ,,,
137,,YY,,II - Publishing the data and the data visualisations with your publication,KB-i,,Interactive Charts' support page as part of the topic 'Widgets' on the Webtools documentations EC wiki,,"Wiki page supporting comments, which are answered by the DIGIT - WEBTOOLS support team.",https://webgate.ec.europa.eu/fpfis/wikis/display/webtools/Interactive+charts#Interactivecharts-support ,"REC- Embed code, share button ",,
138,YY,YY,II - Writing about data,II - Writing about data,KB-i,,Writing for the European Commission web presence,Writing for the European Commission web presence: checklists and actionable advice,A set of quick checklists and actionable advice covering all aspects of creating content for the European Commission's web presence,https://webgate.ec.europa.eu/fpfis/wikis/display/WEBRAT/Writing+for+the+European+Commission+web+presence,REC- Writing for the web,,
139,,,,,,,,,,Web page (europa.eu),My Intracomm - Writers' toolbox - guidance (duplicate of 125),,
140,YY,YY,II - Writing about data,II - Writing about data,KB-x,,European Commission web writing guidelines,European Commission web writing guidelines,"Produced by the European Commission Directorate-General for Communication, it is the recommended reference for producing online texts for the European Commission",https://wikis.ec.europa.eu/display/WEBGUIDE/02.+Web+writing+guidelines,,,
141,,,II - Writing about data,II - Writing about data,,,,,,Writer's toolbox (europa.eu),My Intracomm - Work resources - Writiers toolbox - duplicate of 125,,
142,,,,,,,,,,Contact - Guide to procedures - EC Extranet Wiki (europa.eu),GoPro,,
143,,,II - Writing about data,II - Writing about data,,,,,,Europa web communication - Europa web communication - EC Extranet Wiki,,,
144,YY,YY,II - Writing about data,II - Writing about data,KB-x,,Writing for the web articles and videos,Writing for the web: articles and videos,"A Nielsen/Norman Group resource, suggested by the editing service of the European Commission's Directorate-General for Translation",https://www.nngroup.com/topic/writing-web/,,"Writing for the web articles & videos, suggested by DGT Clear writing",
145,,,II - Writing about data,II - Writing about data,,,,,,04. Publications - WEBGUIDE - EC Public Wiki (europa.eu),Definition of Publications,,
146,,,II - Writing about data,II - Writing about data,,,,,,12. Accessibility - WEBGUIDE - EC Public Wiki (europa.eu),Web Guide Public wiki - Accessibility,,
147,,,II - Writing about data,II - Writing about data,,,,,,02. Web writing guidelines - WEBGUIDE - EC Public Wiki (europa.eu),Web Guide Public wiki - Web writing guidelines - duplicate of 140,,
148,YY,YY,II - Writing about data,II - Writing about data,KB-x,,What is plain language?,What is plain language?,"A Plain Language Association International resource, suggested by the editing team of the European Commission's Directorate-General for Translation",https://plainlanguagenetwork.org/plain-language/what-is-plain-language/,REC - Write in plain language,,
149,,,II - Writing about data,II - Writing about data,,,,,,Open Europa Wikis Home - Open Europa Wikis - EC Extranet Wiki,,,
150,,,II - Writing about data,II - Writing about data,,,,,,Resources for partners | European Commission (europa.eu),,,
151,YY,YY,II - Writing about data,II - Writing about data,KB-i,,Quick web writing checklist,European Commission web writing checklist,A European Commission resource providing 17 very simple tips on how to improve your online content,https://webgate.ec.europa.eu/fpfis/wikis/display/WEBRAT/Quick+web+writing+checklist,,Extranet wiki,
152,YY,YY,II - CROSSCUTTING (e.g. accessibility),II - CROSSCUTTING (e.g. accessibility),KB-i,,Quick accessibility checklist,European Commission accessibility checklist,"A European Commission resource consisting of a very basic checklist which will make sure your content is accessible to disabled users, particularly those who use screen readers.",https://webgate.ec.europa.eu/fpfis/wikis/display/WEBRAT/Quick+accessibility+checklist,"REC- Accessible colour compinations
",Extranet wiki,
153,YY,YY,II - CROSSCUTTING (e.g. accessibility),II - CROSSCUTTING (e.g. accessibility),KB-x,,Colour Contrast Analyser,Colour Contrast Analyser,A free and easy-to-use tool that enables you to optimise your content –including text and visual elements– for individuals with vision disabilities like color-blindness and low-vision impairments.,https://www.tpgi.com/color-contrast-checker/,REC- Accessible colour combinations,,
154,YY,YY,II - CROSSCUTTING (e.g. accessibility),II - CROSSCUTTING (e.g. accessibility),KB-x,,Web Content Accessibility Guidelines (WCAG) 2.1,Web Content Accessibility Guidelines (WCAG) 2.1,A W3C Recommendation for making web content more accessible to a wider range of people with disabilities.,https://www.w3.org/TR/WCAG21/,REC- Accessible colour combinations,,
155,YY,YY,II - Preparing viz for pub,II - Preparing viz for pub,KB-x,,"How to add alternative text to shapes, pictures, charts, SmartArt graphics, or other objects",How to add alternative text to your Office document,A Microsoft 365 support page on adding alternative text in your Office document.,https://support.microsoft.com/en-us/office/add-alternative-text-to-a-shape-picture-chart-smartart-graphic-or-other-object-44989b2a-903c-4d9a-b742-6a75b451c669,REC- Add metadata to your viz,,
156,YY,YY,II - Preparing viz for pub,II - Preparing viz for pub,KB-x,,How to write good alternative descriptions for your data visualisation,How to write good alternative descriptions for your data visualisation,A Datawrapper article,https://academy.datawrapper.de/article/330-how-to-write-good-alternative-descriptions-for-your-data-visualization,REC- Write alt text,,
157,YY,YY,II - Preparing viz for pub,II - Preparing viz for pub,KB-x,,Writing alt text for data visualisation,Writing alt text for data visualisation,"A Medium article by Amy Cesal (data visualisation designer and co-founder of the Data Visualization Society) published on Nightingale, the Journal of the Data Visualization Society",https://medium.com/nightingale/writing-alt-text-for-data-visualization-2a218ef43f81,REC- Write alt text,,
158,YY,YY,II - Preparing your data for publication,II - Preparing your data for publication,KB-x,,General Data Protection Regulation,General Data Protection Regulation,,https://eur-lex.europa.eu/eli/reg/2016/679,REC- Personal Data Protection,,
159,YY,YY,II - Writing about data,II - Writing about data,R,Y,European Commission Clear Writing team,European Commission Clear Writing team,,mailto:DGT-CLEAR-WRITING@ec.europa.eu,REC- Write in plain language,,
160,YY,YY,II - Writing about data,II - Writing about data,KB-i,,Structure and formatting,Basic tips on structuring and formatting text for the web,A European Commission resource providing some basic tips on structuring and formatting text for online consumption,https://webgate.ec.europa.eu/fpfis/wikis/display/WEBRAT/Structure+and+formatting,REC- Text design,,
161,,,Copyright,,KB-x,,Council open data and reuse decision,,COUNCIL DECISION 115367/17 on the open data policy of the Council and the reuse of Council documents ,https://data.consilium.europa.eu/doc/document/ST-11563-2017-INIT/en/pdf,"https://www.consilium.europa.eu/en/about-site/copyright/ 

","Copyright notice
© European Union, 2022.

Reproduction is authorised, provided that the Council of the EU is always acknowledged as the original source of the material, unless otherwise stated and that the original meaning or message of the content is not distorted.


Where prior permission must be obtained for the reproduction or use of textual and multimedia information (sound, images, software, etc.), such permission shall cancel the abovementioned general permission and indicate clearly any restrictions on use.

Copyright limitations for the PRADO section of the website
You must under no circumstances: [...]",
162,,,Copyright,,KB-x,,European Court of Auditors open data and reuse decision,,Decision of the European Court of Auditors No 6-2019 on the open data policy  and the reuse of documents ,https://www.eca.europa.eu/Lists/ECADocuments/DECISION_ECA_6_2019/ECA-Decision_06-2019_EN.pdf,https://www.eca.europa.eu/en/Pages/Disclaimer.aspx,"Copyright notice
© European Union, 1995-2022​

The reuse policy of the European Court of Auditors (ECA) is implemented by the Decision of the European Court of Auditors No 6-2019 on the open data policy and the reuse of documents.

Unless otherwise indicated (e.g. in individual copyright notices), the ECA’s content owned by the EU is licensed under the Creative Commons Attribution 4.0 International (CC BY 4.0) licence. This means that reuse is allowed, provided appropriate credit is given and changes are indicated. The reuser must not distort the original meaning or message of the documents. The ECA shall not be liable for any consequences of reuse.

You are required to clear additional rights if a specific content depicts identifiable private individuals, f. ex. as on pictures of the ECA’s staff or includes third-party works. Where permission is obtained, such permission shall cancel the above-mentioned general permission and shall clearly indicate any restrictions on use.

To use or reproduce content that is not owned by the EU, you may need to seek permission directly from the copyright holders. Software or documents covered by industrial property rights, such as patents, trade marks, registered designs, logos and names, are excluded from the ECA’s reuse policy and are not licensed to you.

The European Union’s family of institutional Web Sites, within the europa.eu domain, provides links to third-party sites. Since the ECA does not control them, you are encouraged to review their privacy and copyright policies.",
163,YY,YY,II - Writing about data,II - Writing about data,KB-x,,Six ways to make numbers meaningful,Six ways to make numbers meaningful,"A LinkedIn article by Sue Horner, a Toronto-area writer at Get It Write",https://www.linkedin.com/pulse/six-ways-make-numbers-meaningful-sue-horner,REC- Use various writing techniques,,
164,,,,II - Publishing the data and the data visualisations with your publication,,,Presenting data,,"Guidance for creating charts and tables and best practice for using colour in your work, provided by the ONS, the Office for National Statistics of the UK",https://style.ons.gov.uk/category/data-visualisation/,,,
165,YY,YY,II - Preparing your data for publication,II - Publishing the data and the data visualisations with your publication,S,Y,Data catalogues,European Commission data catalogues: an overview,An overview of the European Commision corporate data catalogues,https://webgate.ec.europa.eu/fpfis/wikis/display/DataAdvisory/Data+catalogues,REC- Publish your data on a data catalogue,,
166,YY,YY,II - Preparing viz for pub,II - Preparing viz for pub,R,DONE,Publications Office Multimedia team,Publications Office Multimedia team,The multimedia pulications team in the Publications Office.,mailto:OP-MULTIMEDIA@publications.europa.eu,REC- Add appropriate metadata to your viz,,
167,YY,YY,II - Creating data visualisations,II - Creating data visualisations,KB-x,,Chart titles and text,Help on chart titles and text,"Help on the textual elements of charts commonly used in statistical commentary, provided by the ONS, the Office for National Statistics of the UK",https://style.ons.gov.uk/category/data-visualisation/titles-and-text/,REC- Write meaningful titles for your viz,,
168,YY,YY,II - Creating data visualisations,II - Creating data visualisations,KB-x,,What to consider when using text in data visualisations,What to consider when using text in data visualisations,"A Datawrapper article, by Lisa Charlotte Muth (formerly Lisa Charlotte Rost)",https://blog.datawrapper.de/text-in-data-visualizations/#label-directly,"REC- Annotate important features
REC- Write succinct viz legends",,
169,YY,YY,II - CROSSCUTTING (e.g. accessibility),II - Creating data visualisations,KB-x,,"Alex, reporter with repetitive stress injury",The benefits of a keyboard navigation support feature,A web user story highlighting the benefits of a keyboard navigation support feature,https://www.w3.org/WAI/people-use-web/user-stories/#reporter,REC- Make sure your interactive charts are accessible with the keyboard,,
170,,,,II - Writing about data,KB-x,,,,,What is plain language? | plainlanguage.gov,,,
171,,,,II - Writing about data,KB-x,,,,,Plain Language - International Plain Language Federation (iplfederation.org),,,
172,YY+,,,II - COPYRIGHT related,KB-i,DONE,,Publisher's information in print and PDF publications: a quick reference guide,,https://publications.europa.eu/code/pdf/Quick_reference_guide_21-4-2022.pdf,"REC- Copyright rules
New entry, still to be mapped",,
173,YY+,,,II - COPYRIGHT related,KB-x,,,Directive on open data and the reuse of public sector information,,https://eur-lex.europa.eu/eli/dir/2019/1024,"REC- API
",,
174,YY+,,,II - COPYRIGHT related,KB-x,,,CC BY 4.0: a summary of the licence,,https://creativecommons.org/licenses/by/4.0/,"REC- Copyright rules
New entry, still to be mapped",,
175,YY+,,,II - COPYRIGHT related,,,,CC0 1.0: public domain dedication (no copyright),,https://creativecommons.org/publicdomain/zero/1.0/,"REC- Copyright rules
New entry, still to be mapped",,
176,YY+,,,II - Writing about data,S,,,Publication Drafting Tool: a Eurolook teamplate for structured manuscripts,,https://webgate.ec.europa.eu/multisite/publicare/en/page/publication-drafting-1178,"REC- ???? (WHOLE SECTION STRUCTURING)
REC- Write for the web
","B.3 suggestion, link points to PubliCare",
177,YY+,,,II - Writing about data,S,,,Publications Office editorial advice service,,https://webgate.ec.europa.eu/multisite/publicare/en/page/consultancy-services-51,"REC- Create a consistent, logical sequence of text and viz
","B.3 suggestion, link points to PubliCare",
178,YY+,,,II - Creating data visualisations,,,,Highcharts: charting library for web and mobile,,https://www.highcharts.com/,"REC- Make sure your interactive charts are accessible with the keyboard
REC- Create viz designs for different screen sizes",,
179,Y,,,II - Writing about data,KB-x,,,How to write clearly,European Commission booklet in all EU languages,http://bookshop.europa.eu/uri?target=EUB:NOTICE:HC3212148:EN:HTML,,,
180,Y,,,II - Writing about data,KB-x,,,Claire's clear writing tips ,Practical tips (in English and French) expanding upon How to write clearly [November 2016],https://ec.europa.eu/info/sites/default/files/clear_writing_tips_en.pdf,,,
181,,,Persistent identification & citation,,KB-i,,,"Assigning identifiers: the what, why and how",,https://webgate.ec.europa.eu/multisite/publicare/en/page/assignment-identifiers-19,,Page on PubliCare => access to EU staff,
182,YY,,,II - Preparing your data for publication,KB-x,,,DCAT and DCAT-AP made easy: a short data story on data.europa.eu,,https://data.europa.eu/en/publications/datastories/linking-data-data-catalogue-vocabulary-application-profile,"REC- Describe your data with metadata
New entry, still to be mapped",,
183,YY,,,II - Creating data visualisations,KB-x,,,A detailed guide to creating an organisational colour palette,,https://blog.datawrapper.de/colors-for-data-vis-style-guides/ ,REC- Choose accessible colour combinations,,
184,YY,,,II - Creating data visualisations,KB-x,,,Visualising data for colourblind readers: a three-part series,,https://blog.datawrapper.de/colorblindness-part1/ ,REC- Choose accessible colour combinations,,
185,YY,,,II - Preparing your data for publication,KB-x,,,"FAIR principles: Findable, Accessible, Interoperable, Reusable",,https://www.go-fair.org/fair-principles/,"REC- Improve the openness level
New entry, still to be mapped
",,
186,YY,,,II - Preparing your data for publication,KB-x,,,Ten principles for opening up government information,,https://sunlightfoundation.com/policy/documents/ten-open-data-principles/,"REC- Improve the openness level
New entry, still to be mapped
",,
